"RECORD_TYPE_CODE","RECORD_CATEGORY_CODE","REINSURANCE_YEAR","COMMODITY_YEAR","COMMODITY_CODE","COMMODITY_NAME","COMMODITY_ABBREVIATION","ANNUAL_PLANTING_CODE","LAST_RELEASED_DATE","RELEASED_DATE","DELETED_DATE"
"A00420","01","2023","2022","0037","Raisins","RAISINS","P","","4/7/2022",""
"A00420","01","2023","2023","0011","Wheat","WHEAT","A","","6/17/2022",""
"A00420","01","2023","2023","0012","Blueberries","BLUEBERRY","P","","8/9/2022",""
"A00420","01","2023","2023","0013","Onions","ONIONS","A","","6/17/2022",""
"A00420","01","2023","2023","0015","Canola","CANOLA","A","","6/17/2022",""
"A00420","01","2023","2023","0016","Oats","OATS","A","","6/17/2022",""
"A00420","01","2023","2023","0017","Millet","MILLET","A","","11/16/2022",""
"A00420","01","2023","2023","0018","Rice","RICE","A","","11/16/2022",""
"A00420","01","2023","2023","0019","Avocados","AVOCADOS","P","","8/9/2022",""
"A00420","01","2023","2023","0020","Pecans","PECANS","P","","8/9/2022",""
"A00420","01","2023","2023","0021","Cotton","COTTON","A","","11/16/2022",""
"A00420","01","2023","2023","0022","Cotton Ex Long Staple","EXLONGSTCT","A","","11/16/2022",""
"A00420","01","2023","2023","0024","Macadamia Trees","MAC TREES","P","","8/9/2022",""
"A00420","01","2023","2023","0028","Almonds","ALMONDS","P","","8/9/2022",""
"A00420","01","2023","2023","0029","Walnuts","WALNUTS","P","","8/9/2022",""
"A00420","01","2023","2023","0031","Flax","FLAX","A","","11/16/2022",""
"A00420","01","2023","2023","0032","Forage Seeding","FORAGE SD","A","","4/14/2022",""
"A00420","01","2023","2023","0033","Forage Production","FORAGEPROD","P","","6/17/2022",""
"A00420","01","2023","2023","0034","Peaches","PEACHES","P","","8/9/2022",""
"A00420","01","2023","2023","0036","Prunes","PRUNES","P","","8/9/2022",""
"A00420","01","2023","2023","0038","Sugarcane","SUGARCANE","A","","6/17/2022",""
"A00420","01","2023","2023","0039","Sugar Beets","SUGARBEETS","A","","4/7/2022",""
"A00420","01","2023","2023","0041","Corn","CORN","A","","6/17/2022",""
"A00420","01","2023","2023","0042","Sweet Corn","SWEET CORN","A","","11/16/2022",""
"A00420","01","2023","2023","0043","Popcorn","POPCORN","A","","11/16/2022",""
"A00420","01","2023","2023","0044","Fresh Market Sweet Corn","FM SWT CRN","A","","4/7/2022",""
"A00420","01","2023","2023","0045","Chile Peppers","CHILEPEPRS","A","","11/16/2022",""
"A00420","01","2023","2023","0046","Processing Beans","PROC BEANS","A","","11/16/2022",""
"A00420","01","2023","2023","0047","Dry Beans","DRY BEANS","A","","11/16/2022",""
"A00420","01","2023","2023","0049","Safflower","SAFFLOWER","A","","8/9/2022",""
"A00420","01","2023","2023","0050","Hybrid Sorghum Seed","HYB SOR SD","A","","11/16/2022",""
"A00420","01","2023","2023","0051","Grain Sorghum","GRAIN SORG","A","","11/16/2022",""
"A00420","01","2023","2023","0052","Table Grapes","TABLEGRAPE","P","","8/9/2022",""
"A00420","01","2023","2023","0053","Grapes","GRAPES","P","","8/9/2022",""
"A00420","01","2023","2023","0054","Apples","APPLES","P","","8/9/2022",""
"A00420","01","2023","2023","0055","Cultivated Wild Rice","CULT WR","A","","6/17/2022",""
"A00420","01","2023","2023","0057","Cherries","CHERRIES","P","","8/9/2022",""
"A00420","01","2023","2023","0058","Cranberries","CRANBERRY","P","","8/9/2022",""
"A00420","01","2023","2023","0059","Silage Sorghum","SIL SORG","A","","11/16/2022",""
"A00420","01","2023","2023","0060","Figs","FIGS","P","","8/9/2022",""
"A00420","01","2023","2023","0062","Hybrid Corn Seed","HYB CRN SD","A","","11/16/2022",""
"A00420","01","2023","2023","0064","Green Peas","GREEN PEAS","A","","11/16/2022",""
"A00420","01","2023","2023","0066","Hybrid Vegetable Seed","HYB VEG SD","A","","4/7/2022",""
"A00420","01","2023","2023","0067","Dry Peas","DRY PEAS","A","","6/17/2022",""
"A00420","01","2023","2023","0069","Mustard","MUSTARD","A","","11/16/2022",""
"A00420","01","2023","2023","0072","Cabbage","CABBAGE","A","","4/7/2022",""
"A00420","01","2023","2023","0074","Mint","MINT","A","","6/17/2022",""
"A00420","01","2023","2023","0075","Peanuts","PEANUTS","A","","11/16/2022",""
"A00420","01","2023","2023","0076","Whole Farm Revenue Protection","WFRP","N","","8/30/2022",""
"A00420","01","2023","2023","0078","Sunflowers","SUNFLOWERS","A","","11/16/2022",""
"A00420","01","2023","2023","0079","Clary Sage","CLYSG","A","","4/7/2022",""
"A00420","01","2023","2023","0080","Hybrid Seed Rice","HYB SD RIC","A","","11/16/2022",""
"A00420","01","2023","2023","0081","Soybeans","SOYBEANS","A","","6/17/2022",""
"A00420","01","2023","2023","0083","Peppers","PEPPERS","A","","4/7/2022",""
"A00420","01","2023","2023","0084","Potatoes","POTATOES","A","","4/7/2022",""
"A00420","01","2023","2023","0086","Fresh Market Tomatoes","FR MKT TOM","A","","4/7/2022",""
"A00420","01","2023","2023","0087","Tomatoes","TOMATOES","A","","8/9/2022",""
"A00420","01","2023","2023","0088","Pasture & Rangeland & Forage","PRF","P","","8/24/2022",""
"A00420","01","2023","2023","0089","Pears","PEARS","P","","8/9/2022",""
"A00420","01","2023","2023","0091","Barley","BARLEY","A","","6/17/2022",""
"A00420","01","2023","2023","0092","Plums","PLUMS","P","","8/9/2022",""
"A00420","01","2023","2023","0093","Hybrid Sweet Corn Seed","HYB SWT CS","A","","11/16/2022",""
"A00420","01","2023","2023","0094","Rye","RYE","A","","6/17/2022",""
"A00420","01","2023","2023","0102","Grass Seed","GRASS SEED","N","","6/17/2022",""
"A00420","01","2023","2023","0105","Fresh Market Beans","FRMKTBEAN","A","","11/16/2022",""
"A00420","01","2023","2023","0107","Alfalfa Seed","ALFALFA SD","P","","6/17/2022",""
"A00420","01","2023","2023","0114","Buckwheat","BUCKWHEAT","A","","11/16/2022",""
"A00420","01","2023","2023","0116","Clams","CLAMS","N","","8/9/2022",""
"A00420","01","2023","2023","0132","Cucumbers","CUCUM","A","","11/16/2022",""
"A00420","01","2023","2023","0147","Pumpkins","PUMPKINS","A","","11/16/2022",""
"A00420","01","2023","2023","0154","Strawberries","STRAWBERRY","A","","4/7/2022",""
"A00420","01","2023","2023","0156","Sweet Potatoes","SWPOTATOES","A","","11/16/2022",""
"A00420","01","2023","2023","0158","Triticale","TRICL","A","","6/24/2022",""
"A00420","01","2023","2023","0192","Tangelo Trees","TNGTR","P","","8/9/2022",""
"A00420","01","2023","2023","0193","Tangerine Trees","TANGT","P","","6/17/2022",""
"A00420","01","2023","2023","0207","Orange Trees","ORANGETREE","P","","6/17/2022",""
"A00420","01","2023","2023","0208","Grapefruit Trees","GRPFT TREE","P","","6/17/2022",""
"A00420","01","2023","2023","0209","Lemon Trees","LEMONTREES","P","","6/17/2022",""
"A00420","01","2023","2023","0210","Lime Trees","LIME TREES","P","","6/17/2022",""
"A00420","01","2023","2023","0218","Fresh Apricots","FR APRICOT","P","","8/9/2022",""
"A00420","01","2023","2023","0219","Processing Apricots","PROC APRIC","P","","8/9/2022",""
"A00420","01","2023","2023","0220","Fresh Nectarines","FR NECT","P","","8/9/2022",""
"A00420","01","2023","2023","0221","Processing Cling Peaches","PC PEACHES","P","","8/9/2022",""
"A00420","01","2023","2023","0222","Processing Freestone","PROC FREES","P","","8/9/2022",""
"A00420","01","2023","2023","0223","Fresh Freestone Peaches","FF PEACHES","P","","8/9/2022",""
"A00420","01","2023","2023","0229","Flue Cured Tobacco","FLUECURETB","A","","11/16/2022",""
"A00420","01","2023","2023","0230","Fire Cured Tobacco","FIRECURETB","A","","11/16/2022",""
"A00420","01","2023","2023","0231","Burley Tobacco","BURTOBACCO","A","","11/16/2022",""
"A00420","01","2023","2023","0232","Maryland Tobacco","MLDTB","A","","11/23/2022",""
"A00420","01","2023","2023","0233","Dark Air Tobacco","DARKAIRTOB","A","","11/16/2022",""
"A00420","01","2023","2023","0234","Cigar Filler Tobacco","FILLER TOB","A","","11/16/2022",""
"A00420","01","2023","2023","0235","Cigar Binder Tobacco","BINDER TOB","A","","11/16/2022",""
"A00420","01","2023","2023","0236","Cigar Wrapper Tobacco","WRAP TOB","A","","11/16/2022",""
"A00420","01","2023","2023","0255","Banana","BANANA","P","","8/9/2022",""
"A00420","01","2023","2023","0256","Coffee","COFFEE","P","","8/9/2022",""
"A00420","01","2023","2023","0257","Papaya","PAPAYA","P","","8/9/2022",""
"A00420","01","2023","2023","0265","Banana Tree","BANANATREE","P","","8/9/2022",""
"A00420","01","2023","2023","0266","Coffee Tree","COFFEETREE","P","","8/9/2022",""
"A00420","01","2023","2023","0267","Papaya Tree","PAPAYATREE","P","","8/9/2022",""
"A00420","01","2023","2023","0308","Mandarin/Tangerine Trees","MTGTR","P","","8/9/2022",""
"A00420","01","2023","2023","0332","Annual Forage","ANL FORAGE","A","","4/26/2022",""
"A00420","01","2023","2023","0333","Camelina","CAMEL","A","","11/16/2022",""
"A00420","01","2023","2023","0334","Hybrid Popcorn Seed","HYB POP CS","A","","11/16/2022",""
"A00420","01","2023","2023","0396","Sesame","SESAME","A","","11/16/2022",""
"A00420","01","2023","2023","0467","Pomegranates","POMEG","P","","10/27/2022",""
"A00420","01","2023","2023","0470","Pistachios","PISTACHIOS","P","","8/9/2022",""
"A00420","01","2023","2023","0501","Olives","OLIVE","P","","8/9/2022",""
"A00420","01","2023","2023","0801","Feeder Cattle","FDR CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0802","Fed Cattle","FED CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0803","Cattle","CATTLE","N","","4/28/2022",""
"A00420","01","2023","2023","0815","Swine","SWINE","N","","4/28/2022",""
"A00420","01","2023","2023","0830","Milk","MILK","N","","4/28/2022",""
"A00420","01","2023","2023","0847","Dairy Cattle","DAIRYCATLE","N","","4/28/2022",""
"A00420","01","2023","2023","1010","Nursery (NVS)","NUR NVS","N","","4/7/2022",""
"A00420","01","2023","2023","1191","Apiculture","APICULTURE","N","","8/24/2022",""
"A00420","01","2023","2023","1218","Hemp","HEMP","A","","11/16/2022",""
"A00420","01","2023","2023","6000","Caneberries","CANBR","P","","8/30/2022",""
"A00420","01","2023","2023","9110","Micro Farm","MCRFM","N","","8/30/2022",""
"A00420","01","2023","2024","0019","Avocados","AVOCADOS","P","","8/9/2022",""
"A00420","01","2023","2024","0023","Macadamia Nuts","MAC NUTS","P","","8/9/2022",""
"A00420","01","2023","2024","0073","Nursery (FG&C)","NUR FG&C","N","","12/21/2022",""
"A00420","01","2023","2024","0115","Oysters","OYSTERS","N","","1/25/2023",""
"A00420","01","2023","2024","0184","Apple Trees","APPTR","P","","12/21/2022",""
"A00420","01","2023","2024","0201","Grapefruit","GRAPEFRUIT","P","","8/9/2022",""
"A00420","01","2023","2024","0202","Lemons","LEMONS","P","","8/9/2022",""
"A00420","01","2023","2024","0203","Tangelos","TANGELOS","P","","8/9/2022",""
"A00420","01","2023","2024","0207","Orange Trees","ORANGETREE","P","","12/21/2022",""
"A00420","01","2023","2024","0208","Grapefruit Trees","GRPFT TREE","P","","12/21/2022",""
"A00420","01","2023","2024","0209","Lemon Trees","LEMONTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0210","Lime Trees","LIME TREES","P","","12/21/2022",""
"A00420","01","2023","2024","0211","All Other Citrus Trees","AOCIT TREE","P","","12/21/2022",""
"A00420","01","2023","2024","0212","Avocado Trees","AVCD TREES","P","","12/21/2022",""
"A00420","01","2023","2024","0213","Carambola Trees","CARAMTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0214","Mango Trees","MANGOTREES","P","","12/21/2022",""
"A00420","01","2023","2024","0227","Oranges","ORANGES","P","","8/9/2022",""
"A00420","01","2023","2024","0284","Pecan Trees","PECTR","P","","12/21/2022",""
"A00420","01","2023","2024","0309","Mandarins/Tangerines","MDTNG","P","","8/9/2022",""
"A00420","01","2023","2024","1010","Nursery (NVS)","NUR NVS","N","","12/21/2022",""
"A00420","01","2023","2024","1302","Tangors","TANGS","P","","8/9/2022",""
"A00420","01","2023","2024","9936","Limes","LIMES","P","","12/21/2022",""